model_type,WINDOW,CNN_CHANNELS,KERNEL_SIZE,LSTM_HIDDEN,DROPOUT,LR,WEIGHT_DECAY,folds_used,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
CNNLSTM,12,32,3,64,0.0,0.001,0.0001,5,15094.44736328125,10289.55038404566,20109.2318359375,10122.777630775472,5.943670129776001,4.179783525195337,0.14932371377944947,0.09718220612743966
CNNLSTM,12,32,5,64,0.0,0.001,0.0001,5,15268.34453125,10665.687435590442,20161.937890625,10917.882177749705,5.908656167984009,3.8794093576121726,0.150745752453804,0.1031088915452047
CNNLSTM,12,16,3,32,0.3,0.001,0.0,5,14287.3458984375,7519.563967536869,20271.424609375,7053.512621176246,5.49228687286377,3.0756581507871843,0.1414346441626549,0.06642596392434666
CNNLSTM,12,16,3,32,0.0,0.0005,0.0001,5,14869.43212890625,7343.110708632569,20479.4525390625,7993.799136397121,5.724175024032593,2.744663625859045,0.14729888886213302,0.06705653373631537
CNNLSTM,12,16,5,32,0.0,0.001,0.0001,5,15214.0921875,7584.984736955649,20504.9779296875,7248.16355996514,6.048818063735962,3.117025132244273,0.15262214988470077,0.07121189307853584
CNNLSTM,12,32,3,32,0.0,0.001,0.0001,5,13427.16123046875,6808.61381703771,20627.4662109375,8774.116882689485,5.170487642288208,3.372831090558295,0.13217235058546067,0.05615487703624602
CNNLSTM,12,16,5,32,0.3,0.001,0.0,5,13087.880859375,3067.1432219994185,20630.5546875,5630.30535625839,5.621550750732422,1.7513229222762383,0.13122177720069886,0.018471571100728373
CNNLSTM,12,16,5,64,0.0,0.001,0.0001,5,15995.2451171875,8729.759720502552,20692.4876953125,9806.320091107887,6.40454626083374,3.6154500733401718,0.15672636330127715,0.0770528788167904
CNNLSTM,12,32,5,32,0.0,0.001,0.0,5,14188.7806640625,6190.301316348463,20846.0201171875,7472.609055787726,5.504218339920044,3.063899551803905,0.14001946449279784,0.05179557802339362
CNNLSTM,12,32,3,32,0.3,0.001,0.0,5,14814.157421875,5960.420712158211,20914.0390625,6119.067176466843,6.025781679153442,2.654259523813499,0.14526771903038024,0.047790674154455086
CNNLSTM,12,16,3,64,0.0,0.001,0.0001,5,15393.25263671875,8451.794491147866,20926.740625,9987.958982627282,6.126136922836304,3.657653729298439,0.14983237832784652,0.07498056169339666
CNNLSTM,12,32,3,64,0.0,0.001,0.0,5,16682.2017578125,11321.560041595585,21105.3966796875,11117.863963817515,6.773191213607788,4.805047563322635,0.1647891953587532,0.10556685423957698
CNNLSTM,12,32,5,32,0.0,0.0005,0.0001,5,16058.006640625,7392.354466192682,21241.7767578125,6767.263199841405,6.38255672454834,3.935961208943576,0.16237993091344832,0.06535202222114865
CNNLSTM,12,32,3,32,0.3,0.001,0.0001,5,13293.3564453125,7209.224666677571,21286.2927734375,8228.881762467292,5.315980672836304,3.4595760693313524,0.12943059355020523,0.05919550415722393
CNNLSTM,12,32,3,32,0.3,0.0005,0.0001,5,15630.565625,5780.363037989315,21331.56171875,5127.589967287127,6.485139942169189,2.9334551717097144,0.15612970292568207,0.04851140329911033
CNNLSTM,12,32,5,32,0.3,0.0005,0.0,5,14217.449609375,6293.049855099552,21348.4025390625,9601.497700406617,5.376667308807373,2.4984788840201233,0.13954206854104995,0.054278434577376404
CNNLSTM,12,16,5,32,0.0,0.001,0.0,5,15413.2556640625,7211.290232279588,21367.024609375,7468.29910769486,5.983106327056885,2.686227231084268,0.156010003387928,0.06891737591726185
CNNLSTM,12,32,5,64,0.0,0.0005,0.0,5,15110.75302734375,8597.192624287349,21469.9267578125,9850.704284444902,5.720316362380982,2.9822279195113275,0.1508280172944069,0.08157632938911863
CNNLSTM,12,16,5,32,0.3,0.0005,0.0,5,16852.79755859375,8104.821456022839,21585.8279296875,8190.35827929481,7.089095163345337,3.386420860412335,0.1682240694761276,0.0768528467065084
CNNLSTM,12,16,3,32,0.0,0.0005,0.0,5,16992.41962890625,10484.609392671255,21777.7240234375,10256.505360581645,6.587482976913452,4.216504807171071,0.16604810506105422,0.09642338232273882
CNNLSTM,12,32,3,32,0.0,0.0005,0.0001,5,15644.9173828125,7217.731245563809,21784.75078125,8570.730716514106,6.281569623947144,3.2787185921677247,0.15651103407144545,0.06212144530984913
CNNLSTM,12,32,5,32,0.3,0.001,0.0001,5,17002.59658203125,8318.761183848557,21895.9126953125,8102.665879025611,6.722457933425903,3.1911985815728876,0.16787976920604705,0.07653245706710639
CNNLSTM,12,32,5,32,0.3,0.0005,0.0001,5,15188.67666015625,5811.664755674263,22127.126171875,7488.2715646012775,5.8536053657531735,2.2418191691082736,0.14909319579601288,0.04676523285519485
CNNLSTM,12,16,5,64,0.0,0.001,0.0,5,16260.32734375,7368.053622709494,22164.664453125,7674.019269175234,6.2694353580474855,2.9823625901563493,0.16185685992240906,0.06740497264418488
CNNLSTM,12,16,5,32,0.3,0.001,0.0001,5,14424.891015625,6260.235164219828,22231.3138671875,8900.70325924624,5.759007596969605,3.044578629225871,0.14108103215694429,0.047929461954997324
CNNLSTM,12,32,5,64,0.0,0.0005,0.0001,5,15340.552734375,8642.421914406852,22351.6349609375,10518.240143989038,5.897530364990234,4.202319834930688,0.15113783478736878,0.07499899853728682
CNNLSTM,12,32,5,32,0.0,0.001,0.0001,5,16280.903125,10043.950863523536,22395.6482421875,11596.864227171372,6.202399969100952,3.837087184831101,0.1614315241575241,0.09451056100543236
CNNLSTM,12,16,3,32,0.0,0.001,0.0001,5,16760.021484375,10797.342494730445,22686.835546875,10297.776610264542,6.432148361206055,4.246142620604321,0.1647802323102951,0.09898703063110004
CNNLSTM,12,16,3,64,0.0,0.0005,0.0,5,17524.3408203125,7683.546520213912,22818.02421875,8755.945566872935,7.5811028480529785,3.522279873611928,0.17807450592517854,0.07150507218592678
CNNLSTM,12,16,5,32,0.0,0.0005,0.0,5,16572.9474609375,6910.608118525243,23085.179296875,5803.110534490781,6.20794358253479,2.818639465834215,0.16534301787614822,0.06143354692847456
CNNLSTM,12,32,5,32,0.0,0.0005,0.0,5,17441.1638671875,7909.566037578413,23470.355078125,9107.643904629113,6.409559822082519,3.276730073027868,0.17678727358579635,0.0743253173616174
CNNLSTM,12,32,3,32,0.0,0.0005,0.0,5,15571.0873046875,6607.541609102208,25173.41953125,9856.653808041823,5.9065673828125,3.307854605847726,0.1551313266158104,0.054102378433787096
CNNLSTM,12,32,3,32,0.0,0.001,0.0,5,19510.0892578125,10721.010858164553,25405.400390625,10386.918054443093,7.616141748428345,4.989385664729241,0.19499243199825286,0.09315693385339274
CNNLSTM,12,16,5,32,0.0,0.0005,0.0001,5,19021.950390625,10001.32626573175,26351.617578125,9985.49561260738,7.033862829208374,4.1987495991141826,0.19114504307508468,0.09233458869787164
