model_type,WINDOW,HIDDEN_DIM,DROPOUT,LR,WEIGHT_DECAY,GATE_INIT,K_DIST,SIGMA_KM,K_CORR,folds_used,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
TGCN_C1_GATED,12,32,0.0,0.001,0.0,0.8,8,60.0,8,5,39484.1828125,4498.919849362596,64471.13046875,3818.8153870193173,14.53963652253151,2.1328610644830266,0.4052347135727268,0.07107116504122181
TGCN_C1_GATED,18,64,0.3,0.0005,0.0001,0.8,8,60.0,8,5,38506.771875,3431.6651374236585,64510.31640625,2592.0075281787385,13.73180702328682,1.2688970469923992,0.3933361278821457,0.04560282477162997
TGCN_C1_GATED,18,128,0.3,0.0005,0.0,0.8,8,60.0,8,5,39468.2796875,3937.8054860497027,64515.74375,4580.512064480917,14.214528203010559,1.8726769892523172,0.4043262728534221,0.061077756256140155
TGCN_C1_GATED,12,64,0.0,0.0005,0.0,0.8,8,60.0,8,5,38860.29453125,3308.05148486497,64594.47890625,2700.6599549319144,13.850018978118896,1.5745675562059243,0.3971223476364817,0.04611055474185839
TGCN_C1_GATED,18,128,0.3,0.0005,0.0,0.8,8,,8,5,40313.5640625,2509.903392081657,64610.03515625,3151.684541055098,14.561875462532043,0.885016077479364,0.41334244391966984,0.05473221726155162
TGCN_C1_GATED,18,64,0.0,0.0005,0.0001,0.8,8,60.0,8,5,39533.62734375,3701.111792007044,64622.19453125,2900.850223383172,14.221625179052353,1.4810171903200338,0.40353967235894694,0.04615739654278142
TGCN_C1_GATED,18,128,0.0,0.0005,0.0001,0.8,8,,8,5,40569.75078125,3167.495608877701,64817.715625,3502.856995322209,14.535617232322693,1.3252701682907797,0.4157371881234112,0.05720880432373331
TGCN_C1_GATED,12,128,0.3,0.0005,0.0001,0.8,8,,8,5,40105.84921875,3377.400447026558,64933.80703125,3817.9070838805155,14.413966238498688,1.6243901443557531,0.41084631438146113,0.05643373207269897
TGCN_C1_GATED,12,32,0.0,0.001,0.0,0.8,8,,8,5,38878.1578125,2131.4758952601824,65053.54453125,2759.1663240695357,13.892912566661835,0.8833599967316587,0.40031830909902083,0.06415838602433446
TGCN_C1_GATED,12,128,0.0,0.0005,0.0,0.8,8,,8,5,40762.84921875,3356.4238803647277,65072.02734375,4156.310473388181,14.567725360393524,1.4010552997195413,0.41837217818313255,0.06457555308611822
TGCN_C1_GATED,12,32,0.0,0.001,0.0001,0.8,8,60.0,8,5,39304.54609375,4604.280066389421,65096.56328125,2759.931168653147,14.500845223665237,2.9014706619606785,0.40215668990451137,0.058624270280307963
TGCN_C1_GATED,18,128,0.0,0.0005,0.0,0.8,8,,8,5,41865.3953125,3989.7622446787127,65115.87890625,3736.669930118312,15.365976393222809,1.675570406433948,0.42722641959167607,0.04865399624336439
TGCN_C1_GATED,12,64,0.3,0.001,0.0,0.8,8,,8,5,39891.5640625,3508.8127594859766,65196.67109375,3780.190759408458,14.477651715278625,1.527299828355197,0.40816029829230516,0.05361154197733773
TGCN_C1_GATED,18,64,0.0,0.0005,0.0,0.8,8,60.0,8,5,39702.7640625,3311.499824649116,65228.09296875,3016.3603429255636,14.192220270633698,1.155303249151373,0.40537788616175635,0.043726963958914664
TGCN_C1_GATED,12,32,0.3,0.001,0.0,0.8,8,60.0,8,5,37792.98515625,2639.6098973525263,65420.8875,1892.630213089968,13.345307558774948,1.2849420147205022,0.3881512696937523,0.056711395234799976
TGCN_C1_GATED,12,128,0.3,0.0005,0.0,0.8,8,,8,5,40336.15078125,2864.5507811062835,65453.36875,4048.7171103544038,14.443327188491821,1.4563727518446863,0.4148940217852964,0.06718559431214383
TGCN_C1_GATED,12,32,0.0,0.001,0.0001,0.8,8,,8,5,40343.76171875,3487.066856927905,65688.5875,2886.072847138349,14.629846513271332,1.5623621503605878,0.4138771744638864,0.06343183268202267
TGCN_C1_GATED,18,64,0.3,0.0005,0.0001,0.8,8,,8,5,39168.80078125,1837.4960481744947,65881.884375,2162.423230774994,13.819862306118011,1.0022534202981002,0.403324543544109,0.06367903638300278
TGCN_C1_GATED,18,128,0.3,0.0005,0.0001,0.8,8,,8,5,40858.34375,4009.4765780378348,65924.89921875,4460.368441744565,14.943199157714844,2.3484678484700283,0.41980872540075564,0.06959078797391702
TGCN_C1_GATED,12,64,0.3,0.0005,0.0,0.8,8,,8,5,39265.72578125,2655.169913967114,66041.87109375,2066.2389565432914,13.812089562416077,0.9190561265336664,0.4017691961392706,0.045835030769007065
TGCN_C1_GATED,12,32,0.3,0.001,0.0001,0.8,8,60.0,8,5,38383.78515625,4184.5139747812,66067.109375,5784.633140972803,13.620576113462448,2.1572921070657864,0.39795077351354385,0.09183057638031317
