model_type,lag_key,params_key,folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std,lag_set,params
RandomForest_cuML,"[1, 2, 3, 4, 5, 6, 12, 24]","{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 250}",5,4652.481396484375,1043.0361659528826,9750.5423828125,2438.2734823638775,1.4600902557373048,0.357363470128248,0.17522880584001538,0.052576774397309844,"[1, 2, 3, 4, 5, 6, 12, 24]","{'bootstrap': True, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",5,4731.34287109375,1243.5489457597237,9756.92958984375,2455.9338809890965,1.4890273094177247,0.4548968736122801,0.17852060496807093,0.059825070776995906,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",5,4731.271826171875,1244.1442422687112,9757.44482421875,2455.975494591453,1.488978123664856,0.45494397490558913,0.1785194873809814,0.05984977485230127,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 250}",5,4735.917822265625,1246.4549919674737,9768.44130859375,2462.9380325454654,1.4899127960205079,0.4551820855706786,0.17869403213262555,0.0599301238066798,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 250}",5,4732.19482421875,1243.3182588843335,9768.8296875,2493.6323549349277,1.489190125465393,0.45109273491732393,0.17855886369943613,0.05982049389596052,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 250}",5,4733.10546875,1243.2007831454341,9769.43564453125,2493.187250259778,1.4896157741546632,0.4511349020963526,0.178591513633728,0.05981147221194418,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 250}",5,4736.613330078125,1246.1198965596545,9769.67900390625,2462.3468745138784,1.4902201652526856,0.45503028146034397,0.17871946543455122,0.059921281057616856,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",5,4733.23125,1258.844014869293,9778.2681640625,2459.6808407746894,1.488958740234375,0.4601262447232116,0.17859890908002848,0.06032987468898919,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",5,4732.868212890625,1259.4413244996,9778.32001953125,2459.5297140079856,1.4887308597564697,0.4601649198205862,0.1785871863365173,0.060354790079814015,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",5,4737.323876953125,1259.239616914831,9778.3787109375,2472.6682249989844,1.490076756477356,0.45811876138736574,0.1787558183073997,0.060363601458484586,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 250}",5,4736.5537109375,1245.7239666078756,9778.68134765625,2472.6422491639546,1.4901028633117677,0.4527134410522914,0.17872478216886514,0.059935921003540484,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 250}",5,4736.630419921875,1246.4841340848857,9778.6978515625,2473.4976617548364,1.4900331020355224,0.45269234097221733,0.17873007059097284,0.05996976653980524,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",5,4738.00751953125,1258.622205075604,9779.204296875,2471.922313814679,1.4903446674346923,0.4580052007129031,0.1787798181176185,0.06034081571530258,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}"
RandomForest_cuML,"[1, 2, 3, 4, 5, 6, 12, 24]","{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 250}",5,4676.348828125,1060.8114050087024,9785.459375,2542.148562610541,1.4632998704910278,0.35576484137161063,0.1761706471443176,0.05339845561297061,"[1, 2, 3, 4, 5, 6, 12, 24]","{'bootstrap': True, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 4, 5, 6, 12, 24]","{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 250}",5,4676.348828125,1060.8114050087024,9785.459375,2542.148562610541,1.4632998704910278,0.35576484137161063,0.1761706471443176,0.05339845561297061,"[1, 2, 3, 4, 5, 6, 12, 24]","{'bootstrap': True, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 250}"
RandomForest_cuML,"[1, 2, 3, 4, 5, 6, 12, 24]","{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 500}",5,4673.006201171875,1066.9196991466456,9793.748046875,2552.305883484162,1.460596776008606,0.3531944621000649,0.17606075108051294,0.053636554585638346,"[1, 2, 3, 4, 5, 6, 12, 24]","{'bootstrap': True, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}"
RandomForest_cuML,"[1, 2, 3, 4, 5, 6, 12, 24]","{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 500}",5,4673.006201171875,1066.9196991466456,9793.748046875,2552.305883484162,1.460596776008606,0.3531944621000649,0.17606075108051294,0.053636554585638346,"[1, 2, 3, 4, 5, 6, 12, 24]","{'bootstrap': True, 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 500}",5,4744.996923828125,1269.798928734467,9805.24521484375,2530.6063630418207,1.4906870126724243,0.45762084982437273,0.17908031195402144,0.060859003597705505,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}"
RandomForest_cuML,"[1, 2, 3, 12, 24]","{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 500}",5,4745.766943359375,1269.1647265662846,9805.963671875,2530.3427370188033,1.4910016536712647,0.4574796358989682,0.17910708636045453,0.06083424582373003,"[1, 2, 3, 12, 24]","{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}"
